cProfile Report for password_encoder
================================================================================

Top 50 functions by cumulative time:
--------------------------------------------------------------------------------
         4728 function calls (4727 primitive calls) in 32.656 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    21/20    0.000    0.000   32.655    1.633 profile_user_settings.py:156(encoder_callback)
       20    0.000    0.000   32.655    1.633 passwords.py:27(encode)
       20    0.000    0.000   32.654    1.633 hashers.py:94(make_password)
       20    0.001    0.000   32.648    1.632 hashers.py:324(encode)
       20    0.811    0.041   32.647    1.632 crypto.py:70(pbkdf2)
       20   29.970    1.498   29.970    1.498 {built-in method _hashlib.pbkdf2_hmac}
        2    1.867    0.933    1.867    0.933 {built-in method time.sleep}
       20    0.000    0.000    0.006    0.000 hashers.py:236(salt)
       20    0.000    0.000    0.006    0.000 crypto.py:51(get_random_string)
       20    0.001    0.000    0.005    0.000 {method 'join' of 'str' objects}
      460    0.001    0.000    0.005    0.000 crypto.py:62(<genexpr>)
      440    0.001    0.000    0.004    0.000 random.py:345(choice)
      440    0.001    0.000    0.003    0.000 random.py:245(_randbelow_with_getrandbits)
      454    0.001    0.000    0.002    0.000 random.py:893(getrandbits)
      454    0.001    0.000    0.001    0.000 {built-in method nt.urandom}
      923    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.000    0.000 monitor.py:77(run)
       40    0.000    0.000    0.000    0.000 encoding.py:87(force_bytes)
       20    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      454    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        3    0.000    0.000    0.000    0.000 monitor.py:98(check_health)
      440    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        3    0.000    0.000    0.000    0.000 transport.py:448(is_healthy)
       20    0.000    0.000    0.000    0.000 base64.py:51(b64encode)
       20    0.000    0.000    0.000    0.000 hashers.py:142(get_hasher)
       40    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        3    0.000    0.000    0.000    0.000 transport.py:444(_is_worker_full)
       20    0.000    0.000    0.000    0.000 {built-in method binascii.b2a_base64}
        3    0.000    0.000    0.000    0.000 worker.py:102(full)
        3    0.000    0.000    0.000    0.000 _queue.py:180(full)
        3    0.000    0.000    0.000    0.000 transport.py:438(_is_rate_limited)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       20    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       40    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
